OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,SalesTeamID,CustomerNames,CityName,Region ,State,StateCode,ProductName,OrderQuantity,DiscountApplied,UnitPrice,UnitCost
SO - 000101,In-Store,WARE-UHY1004,12/31/2017,5/31/2018,6/14/2018,6/19/2018,USD,Joshua Bennett,Rochester Ltd,Babylon (Town),Northeast,New York,NY,Dining Furniture,5,"0,075","1963,1","1001,181"
SO - 000102,Online,WARE-NMK1003,12/31/2017,5/31/2018,6/22/2018,7/2/2018,USD,Paul Holmes,Pacific Ltd,Overland Park,Midwest,Kansas,KS,Wreaths,3,"0,075","3939,6","3348,66"
SO - 000103,Distributor,WARE-UHY1004,12/31/2017,5/31/2018,6/21/2018,7/1/2018,USD,Samuel Fowler,"3LAB, Ltd",Ann Arbor,Midwest,Michigan,MI,Stemware,1,"0,05","1775,5","781,22"
SO - 000104,Wholesale,WARE-NMK1003,12/31/2017,5/31/2018,6/2/2018,6/7/2018,USD,Carlos Miller,"Fenwal, Corp",New Haven,West,Connecticut,CT,Accessories,8,"0,075","2324,9","1464,687"
SO - 000105,Distributor,WARE-NMK1003,4/10/2018,5/31/2018,6/16/2018,6/26/2018,USD,Joe Price,Bare ,Waterbury,Northeast,Connecticut,CT,Candles,8,"0,1","1822,4","1476,144"
SO - 000106,Online,WARE-PUJ1005,12/31/2017,5/31/2018,6/8/2018,6/13/2018,USD,Carl Nguyen,Ohio ,Norman,Midwest,Oklahoma,OK,Cookware,5,"0,05","1038,5","446,555"
SO - 000107,In-Store,WARE-XYS1001,12/31/2017,5/31/2018,6/8/2018,6/14/2018,USD,Jonathan Hawkins,Linde ,Chandler,West,Arizona,AZ,Bathroom Furniture,4,"0,15","1192,6","536,67"
SO - 000108,In-Store,WARE-PUJ1005,4/10/2018,5/31/2018,6/26/2018,7/1/2018,USD,Joshua Bennett,Ei ,Cleveland,Northeast,Ohio,OH,Sculptures,5,"0,05","1815,7","1525,188"
SO - 000109,In-Store,WARE-PUJ1005,12/31/2017,6/1/2018,6/16/2018,6/21/2018,USD,Chris Armstrong,Ei ,North Charleston,Northeast,South Carolina,SC,Audio,4,"0,3","3879,3","2211,201"
SO - 000110,In-Store,WARE-UHY1004,12/31/2017,6/1/2018,6/29/2018,7/1/2018,USD,Jonathan Hawkins,Trigen ,Brooklyn,West,New York,NY,Bakeware,8,"0,05","1956,4","1212,968"
SO - 000111,Distributor,WARE-XYS1001,12/31/2017,6/1/2018,6/15/2018,6/20/2018,USD,Douglas Tucker,Ohio ,Antioch,Midwest,California,CA,Wardrobes,6,"0,1",201,"124,62"
SO - 000112,In-Store,WARE-NMK1003,4/10/2018,6/1/2018,6/7/2018,6/17/2018,USD,Jonathan Hawkins,Ohio ,Aurora (Township),West,Illinois,IL,Rugs,5,"0,15","6277,9","2762,276"
